Name,Slug,SKU,Manufacturer URL,Main Image URL,Gallery URL 1,Gallery URL 2,Gallery URL 3,Gallery URL 4,Brand,Brand Name,Model,Short Description,Category,Category Text,Subcategory,Subcategory Text,ST1 Label,ST1 Value,ST1 Details,ST2 Label,ST2 Value,ST2 Details,ST3 Label,ST3 Value,ST3 Details,Featured,App 01 Title,App 01 Details,App 02 Title,App 02 Details,App 03 Title,App 03 Details,Q1,A1,Q2,A2,Q3,A3,C1 Title,C1 Details,C2 Title,C2 Details,C3 Title,C3 Details,From field: Brand Name,From field: Brand Name 2
1.259-014.0,kaercher-1-259-014-0,1.259-014.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.259-014.0,https://s1.kaercher-media.com/mam/1259010205/mainproduct/43649/d3.jpg,,,,,Karcher,Karcher, B 80 W Bp DOSE+D65+V900+180Ah,"Mașină de spălat pardoseli ride-on cu dozare automată a detergentului – concepută pentru suprafețe industriale mari, cu autonomie extinsă și eficiență maximă per ciclu de curățare.",,Mașini de curățat pardoseli,,Mașini de spălat-uscat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.251-901.0,kaercher-1-251-901-0,1.251-901.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-901.0,https://s1.kaercher-media.com/mam/1259010205/mainproduct/43649/d3.jpg,,,,,Karcher,Karcher, HDS 12/14 -4 ST GAS *EU-I,Aparat de curățat cu apă caldă și motor pe benzină – putere termică și presiune ridicată pentru degresare industrială în locații fără curent.,,Aparate de curățat cu presiune,,Apă caldă și abur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.251-902.0,kaercher-1-251-902-0,1.251-902.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-902.0,https://s1.kaercher-media.com/mam/15136610/mainproduct/7c33e741-1d1f-447c-88e0-0a5bc12d0eff/d0.jpg,https://s1.kaercher-media.com/mam/62961700/mainproduct/194559/d0.jpg,,,,Karcher,Karcher, HDS 12/14 -4 ST GAS LPG *EU-I,"Aparat de curățat cu apă caldă alimentat cu LPG – mobilitate totală pe șantier, degresare profundă fără racord electric, gata de lucru oriunde.",,Aparate de curățat cu presiune,,Apă caldă și abur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.698-917.0,kaercher-1-698-917-0,1.698-917.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.698-917.0,https://s1.kaercher-media.com/mam/15136610/mainproduct/7c33e741-1d1f-447c-88e0-0a5bc12d0eff/d0.jpg,https://s1.kaercher-media.com/mam/62961700/mainproduct/194559/d0.jpg,,,,Karcher,Karcher, HDS 9/14-4 ST *EU-I,"Aparat de curățat cu apă caldă și abur Kärcher – elimină grăsimea industrială și bacteriile fără chimicale agresive, cu eficiență superioară față de apa rece.",,Aparate de curățat cu presiune,,Apă caldă și abur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.251-900.0,kaercher-1-251-900-0,1.251-900.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-900.0,https://s1.kaercher-media.com/mam/15136610/mainproduct/7c33e741-1d1f-447c-88e0-0a5bc12d0eff/d0.jpg,https://s1.kaercher-media.com/mam/62961700/mainproduct/194559/d0.jpg,,,,Karcher,Karcher, HDS 9/16-4 ST GAS *EU-I,Aparat de curățat cu apă caldă și motor pe benzină – putere termică și presiune ridicată pentru degresare industrială în locații fără curent.,,Aparate de curățat cu presiune,,Apă caldă și abur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.528-133.0,kaercher-1-528-133-0,1.528-133.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.528-133.0,https://s1.kaercher-media.com/mam/15281330/mainproduct/73545/d0.jpg,https://s1.kaercher-media.com/mam/15281330/mainproduct/73545/d1.jpg,,,,Karcher,Karcher, T 9/1 Bp,"Aspirator portabil cu acumulator 9 litri – libertate totală de mișcare, ideal pentru clădiri de birouri, hoteluri și spații fără prize la îndemână.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.527-150.0,kaercher-1-527-150-0,1.527-150.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-150.0,https://s1.kaercher-media.com/mam/15271500/mainproduct/87552/d0.jpg,https://s1.kaercher-media.com/mam/15271500/mainproduct/87552/d1.jpg,,,,Karcher,Karcher, T 10/1 *EU,"Aspirator profesional compact 10 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.527-154.0,kaercher-1-527-154-0,1.527-154.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-154.0,https://s1.kaercher-media.com/mam/15271540/mainproduct/87554/d0.jpg,https://s1.kaercher-media.com/mam/15271540/mainproduct/87554/d1.jpg,,,,Karcher,Karcher, T 10/1 Adv *EU,"Aspirator profesional silențios 10 litri, seria Advanced – nivel redus de zgomot, filtrare superioară, perfect pentru birouri și spații în activitate.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.527-157.0,kaercher-1-527-157-0,1.527-157.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-157.0,https://s1.kaercher-media.com/mam/15271570/mainproduct/173079/d0.jpg,https://s1.kaercher-media.com/mam/15271570/mainproduct/173079/d1.jpg,,,,Karcher,Karcher, T 10/1 Adv *EU,"Aspirator profesional silențios 10 litri, seria Advanced – nivel redus de zgomot, filtrare superioară, perfect pentru birouri și spații în activitate.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.527-419.0,kaercher-1-527-419-0,1.527-419.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-419.0,https://s1.kaercher-media.com/mam/15274190/mainproduct/87554/d0.jpg,https://s1.kaercher-media.com/mam/15274190/mainproduct/87554/d1.jpg,,,,Karcher,Karcher, T 10/1 Adv HEPA *EU,"Aspirator profesional silențios 10 litri, seria Advanced – nivel redus de zgomot, filtrare superioară, perfect pentru birouri și spații în activitate.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
