PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/8000300005/cric-mecanic-din-otel-red-jack-8000300005/,8000300005,CRIC MECANIC DIN OTEL RED JACK,,"• Cric mecanic cu cremalieră;
• Dimensiuni principale și condiții tehnice de livrare conform EN 1494; 
• Fără furtunuri hidraulice sau nevoia de motoare externe; 
• Manivelă de siguranță; 
• Ușor de transportat; 
• Construcție extrem de solidă.Directiva 2006 / 42 / CE.
Standard european EN 1494.200: A1: 2008",,,,,CRIC MECANIC DIN OTEL RED JACK,CRIC MECANIC DIN OTEL RED JACK,,,01.01.2026,,CRIC MECANIC DIN OTEL RED JACK,139.83321600000002,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/8100300005/cric-mecanic-din-otel-red-jack-8100300005/,8100300005,CRIC MECANIC DIN OTEL RED JACK,,"• Cric mecanic cu cremalieră;
• Dimensiuni principale și condiții tehnice de livrare conform EN 1494; 
• Fără furtunuri hidraulice sau nevoia de motoare externe; 
• Manivelă de siguranță; 
• Ușor de transportat; 
• Construcție extrem de solidă.Directiva 2006 / 42 / CE.
Standard european EN 1494.200: A1: 2008",,,,,CRIC MECANIC DIN OTEL RED JACK,CRIC MECANIC DIN OTEL RED JACK,,,01.01.2026,,CRIC MECANIC DIN OTEL RED JACK,181.23004800000004,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/8200300005/cric-mecanic-din-otel-red-jack-8200300005/,8200300005,CRIC MECANIC DIN OTEL RED JACK,,"• Cric mecanic cu cremalieră;
• Dimensiuni principale și condiții tehnice de livrare conform EN 1494; 
• Fără furtunuri hidraulice sau nevoia de motoare externe; 
• Manivelă de siguranță; 
• Ușor de transportat; 
• Construcție extrem de solidă.Directiva 2006 / 42 / CE.
Standard european EN 1494.200: A1: 2008",,,,,CRIC MECANIC DIN OTEL RED JACK,CRIC MECANIC DIN OTEL RED JACK,,,01.01.2026,,CRIC MECANIC DIN OTEL RED JACK,220.46515200000005,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/8300300005/cric-mecanic-din-otel-red-jack-8300300005/,8300300005,CRIC MECANIC DIN OTEL RED JACK,,"• Cric mecanic cu cremalieră;
• Dimensiuni principale și condiții tehnice de livrare conform EN 1494; 
• Fără furtunuri hidraulice sau nevoia de motoare externe; 
• Manivelă de siguranță; 
• Ușor de transportat; 
• Construcție extrem de solidă.Directiva 2006 / 42 / CE.
Standard european EN 1494.200: A1: 2008",,,,,CRIC MECANIC DIN OTEL RED JACK,CRIC MECANIC DIN OTEL RED JACK,,,01.01.2026,,CRIC MECANIC DIN OTEL RED JACK,304.42521600000003,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611009901/banc-fix-simplu-tsg2-2000x600-mm-9611009901/,9611009901,Banc fix simplu TSG2 - 2000x600 mm,,"Banc de lucru fix pentru sarcini grele: constructie rezistenta la o sarcina statica de 1000 kg; 
Blat din lemn masiv multistrat de 40 mm, cu 2 intarituri metalice pe partea inferioara, pentru a-i asigura rigiditatea, cu o sectiune L de 30 x 53 mm; 
Traversa metalica ce poate fi folosita ca raft inferior de depozitare; 
Cadru vopsit in camp electrostatic; 
Se poate fixa pe sol; 
Posibilitate de fixare a unei menghine pe blat; 
Se livreaza demontat: 4 elemente (1 blat din lemn + 2 picioare + 1 traversa cu 2 intarituri).Dimensiuni banc: 2000x600x940 mm; 
Banc de lucru fix pentru sarcini grele: constructie rezistenta la o sarcina statica de 1000 kg; 
Se livreaza demontat: 4 elemente (1 blat din lemn + 2 picioare + 1 traversa cu 2 intarituri).",,,,,Banc fix simplu TSG2 - 2000x600 mm,Banc fix simplu TSG2 - 2000x600 mm,,,01.01.2026,,Banc fix simplu TSG2 - 2000x600 mm,403.938576,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611059901/banc-fix-simplu-tsg2-2000x600-mm-cu-placa-inox-9611059901/,9611059901,Banc fix simplu TSG2 - 2000x600 mm cu placa inox,,"Banc de lucru fix pentru sarcini grele: constructie rezistenta la o sarcina statica de 1000 kg; 
Blat din lemn multistrat de 40 mm, cu 2 intarituri metalice pe partea inferioara, pentru a-i asigura rigiditatea, cu o sectiune L de 30 x 53 mm; 
Se livreaza cu o placa din otel inoxidabil: poate fi pozitionata fie pe partea stanga, fie pe partea dreapta a blatului; 
Dimensiuni placa inox: 600 x 600 x 40 mm, grosime 7/10; 
Traversa metalica ce poate fi folosita ca raft inferior de depozitare; 
Cadru vopsit in camp electrostatic; 
Se poate fixa pe sol; 
Posibilitate de fixare a unei menghine pe blat; 
Se livreaza neasamblat: 5 elemente (1 blat din lemn + 2 picioare + 1 traversa cu 2 intarituri + 1 placa din otel inoxidabil).Dimensiuni banc: 2000x600x940 mm; 
Banc de lucru fix pentru sarcini grele: constructie rezistenta la o sarcina statica de 1000 kg; 
Blat din lemn multistrat de 40 mm; 
Se livreaza neasamblat: 5 elemente (1 blat din lemn + 2 picioare + 1 traversa cu 2 intarituri + 1 placa din otel inoxidabil).",,,,,Banc fix simplu TSG2 - 2000x600 mm cu placa inox,Banc fix simplu TSG2 - 2000x600 mm cu placa inox,,,01.01.2026,,Banc fix simplu TSG2 - 2000x600 mm cu placa inox,442.69675200000006,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611000601/BANC-FIX-TSG8-X6-SERTARE-9611000601/,9611000601,BANC FIX TSG8 X6 SERTARE,,"Dimensiune : 2000x600x940 mm; 
Constructie solida si rezistenta, sarcina maxima statica 1000 kg; 
Blat din lemn stratificat cu grosimea de 40 mm; 
Modul de depozitare cu 6 sertare: 4 x inaltime  H 60 mm, 1 x inaltime H 140 mm si 1 x inaltime H 215 mm; 
Sarcina maxima 25 kg/sertar, dotate cu covor; 
Traversa metalica (dimensiune1.215x325 mm) poate fi folosita ca raft inferior de stocare; 
Inchidere centralizata a sertarelor prin cheie; 
Posibilitate de fixare la sol; 
Poate fi dotat cu o menghina de banc din gama MAGNAT; 
Se livreaza dezasamblat.Dimensiune: 2000x600x94; 
Modul de depozitare cu 6 sertare; 
Blat din lemn stratificat cu grosimea de 40 mm; 
Inchidere centralizata a sertarelor prin cheie.",,,,,BANC FIX TSG8 X6 SERTARE,BANC FIX TSG8 X6 SERTARE,,,01.01.2026,,BANC FIX TSG8 X6 SERTARE,697.570704,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611050601/banc-fix-tsg8-x6-sertareplaca-inox-9611050601/,9611050601,BANC FIX TSG8 X6 SERTARE+PLACA INOX,,"Dimensiune : 2000x600x940 mm; 
Constructie solida si rezistenta, sarcina maxima statica 1000 kg; 
Blat din lemn stratificat cu grosimea de 40 mm; 
Prevazut cu o placa protectie din INOX (600x600x0.7 mm); 
Modul de depozitare cu 6 sertare: 4 x inaltime H 60 mm, 1 x inaltime H 140 mm si 1 x inaltime H 215 mm; 
Sarcina maxima 25 kg/sertar, dotate cu covor; 
Traversa metalica (dimensiune1.215x325 mm) poate fi folosita ca raft inferior de stocare; 
Inchidere centralizata a sertarelor prin cheie; 
Posibilitate de fixare la sol; 
Poate fi dotat cu o menghina de banc din gama MAGNAT; 
Se livreaza dezasamblat.Dimensiune : 2000x600x940; 
Modul de depozitare cu 6 sertare; 
Blat din lemn stratificat cu grosimea de 40 mm; 
Prevazut cu o placa protectie din INOX (600x600x0.7 mm); 
Inchidere centralizata a sertarelor prin cheie.",,,,,BANC FIX TSG8 X6 SERTARE+PLACA INOX,BANC FIX TSG8 X6 SERTARE+PLACA INOX,,,01.01.2026,,BANC FIX TSG8 X6 SERTARE+PLACA INOX,768.161232,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611001201/banc-fix-tsg9-x12-sertare-9611001201/,9611001201,BANC FIX TSG9 X12 SERTARE,,"Dimensiune : 2000x600x940 mm.  Constructie solida si rezistenta, sarcina maxima statica 1000 kg.  Blat din lemn stratificat cu grosimea de 40 mm.  2 module de depozitare cu cate 6 sertare: 4 x inaltime  H 60 mm, 1 x inaltime H 140 mm si 1 x inaltime H 215 mm  Sarcina maxima 25 kg/sertar, dotate cu covor  Inchidere centralizata a sertarelor prin cheie.  Posibilitate de fixare la sol.  Poate fi dotat cu o menghina de banc din gama MAGNAT. Se livreaza dezasamblat.Dimensiune : 2000x600x940  12 sertare: 2 module de depozitare cu cate 6 sertare Blat din lemn stratificat cu grosimea de 40 mm  Inchidere centralizata a sertarelor prin cheie",,,,,BANC FIX TSG9 X12 SERTARE,BANC FIX TSG9 X12 SERTARE,,,01.01.2026,,BANC FIX TSG9 X12 SERTARE,1006.4399040000001,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9611051201/banc-fix-tsg9-x12-sertareplaca-inox-9611051201/,9611051201,BANC FIX TSG9 X12 SERTARE+PLACA INOX,,"Dimensiune : 2000x600x940 mm.  Constructie solida si rezistenta, sarcina maxima statica 1000 kg.  Blat din lemn stratificat cu grosimea de 40 mm. Prevazut cu o placa protectie din INOX (600x600x0.7 mm)   2 module de depozitare cu cate 6 sertare: 4 x inaltime  H 60 mm, 1 x inaltime H 140 mm si 1 x inaltime H 215 mm  Sarcina maxima 25 kg/sertar, dotate cu covor.   Inchidere centralizata a sertarelor prin cheie.  Posibilitate de fixare la sol.  Poate fi dotat cu o menghina de banc din gama MAGNAT. Se livreaza dezasamblat.Dimensiune : 2000x600x940   12 sertare: 2 module de depozitare cu cate 6 sertare Blat din lemn stratificat cu grosimea de 40 mm. Prevazut cu o placa protectie din INOX (600x600x0.7 mm) Inchidere centralizata a sertarelor prin cheie",,,,,BANC FIX TSG9 X12 SERTARE+PLACA INOX,BANC FIX TSG9 X12 SERTARE+PLACA INOX,,,01.01.2026,,BANC FIX TSG9 X12 SERTARE+PLACA INOX,1079.6107680000002,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
