PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25477,25477,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 5mm-6x18mmx40m",,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 5mm-6x18mmx40m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 5mm-6x18mmx40m","ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 5mm-6x18mmx40m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 5mm-6x18mmx40m",79.9,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25472,25472,"ELECTRO GALVANIZED DIN763 LINK CHAIN, ON PLASTIC REEL, 20Kgr 7mm-14mmx49mm, 23m",,"ELECTRO GALVANIZED DIN763 LINK CHAIN, ON PLASTIC REEL, 20Kgr 7mm-14mmx49mm, 23m",,,,,"ELECTRO GALVANIZED DIN763 LINK CHAIN, ON PLASTIC REEL, 20Kgr 7mm-14mmx49mm, 23m","ELECTRO GALVANIZED DIN763 LINK CHAIN, ON PLASTIC REEL, 20Kgr 7mm-14mmx49mm, 23m",,,,,"ELECTRO GALVANIZED DIN763 LINK CHAIN, ON PLASTIC REEL, 20Kgr 7mm-14mmx49mm, 23m",79.89999999999999,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25476,25476,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 4mm-6,0x16,0mm, 62m",,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 4mm-6,0x16,0mm, 62m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 4mm-6,0x16,0mm, 62m","ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 4mm-6,0x16,0mm, 62m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 4mm-6,0x16,0mm, 62m",83.3,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25478,25478,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 6mm-9.5x21, 33m",,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 6mm-9.5x21, 33m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 6mm-9.5x21, 33m","ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 6mm-9.5x21, 33m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 6mm-9.5x21, 33m",79.89999999999999,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25479,25479,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 8mm-16x52, 18m",,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 8mm-16x52, 18m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 8mm-16x52, 18m","ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 8mm-16x52, 18m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 8mm-16x52, 18m",78.2,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25474,25474,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3mm-5.0x16mm, 123m",,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3mm-5.0x16mm, 123m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3mm-5.0x16mm, 123m","ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3mm-5.0x16mm, 123m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3mm-5.0x16mm, 123m",83.3,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25473,25473,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 2,5mm-5x14, 175m",,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 2,5mm-5x14, 175m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 2,5mm-5x14, 175m","ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 2,5mm-5x14, 175m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 2,5mm-5x14, 175m",97.75,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25480,25480,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 10mm-20x65, 11m",,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 10mm-20x65, 11m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 10mm-20x65, 11m","ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 10mm-20x65, 11m",,,,,"ELECTRO GALVANIZED DIN764 LINK CHAIN, ON PLASTIC REEL, 20Kgr 10mm-20x65, 11m",78.2,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=25475,25475,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3,5mm-7x18, 86m",,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3,5mm-7x18, 86m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3,5mm-7x18, 86m","ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3,5mm-7x18, 86m",,,,,"ELECTRO GALVANIZED DIN5685A LINK CHAIN, ON PLASTIC REEL, 20Kgr 3,5mm-7x18, 86m",83.3,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://products.ffgroup-toolindustries.com/ro?phrase=44717,44717,"GALVANIZED LINK CHAIN 06,0mm - 32Χ10,5mm 25kg/37m",,"GALVANIZED LINK CHAIN 06,0mm - 32Χ10,5mm 25kg/37m",,,,,"GALVANIZED LINK CHAIN 06,0mm - 32Χ10,5mm 25kg/37m","GALVANIZED LINK CHAIN 06,0mm - 32Χ10,5mm 25kg/37m",,,,,"GALVANIZED LINK CHAIN 06,0mm - 32Χ10,5mm 25kg/37m",114.75000000000001,RON,,,,,,,,,,,,PCE,,1,6-15 zile,,,,,
