PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.259-014.0,1.259-014.0, B 80 W Bp DOSE+D65+V900+180Ah,,FLOOR CARE SOLUTIONS / Masina de spalat pardoseli B 80 W ,,,,, B 80 W Bp DOSE+D65+V900+180Ah, B 80 W Bp DOSE+D65+V900+180Ah,,,2026-01-01 00:00:00,, B 80 W Bp DOSE+D65+V900+180Ah,72250.56,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-901.0,1.251-901.0, HDS 12/14 -4 ST GAS *EU-I,,PROFESSIONAL PRODUCTS / HDS 12/14 -4 ST GAS *EU-I,,,,, HDS 12/14 -4 ST GAS *EU-I, HDS 12/14 -4 ST GAS *EU-I,,,2026-01-01 00:00:00,, HDS 12/14 -4 ST GAS *EU-I,70052.2,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-902.0,1.251-902.0, HDS 12/14 -4 ST GAS LPG *EU-I,,PROFESSIONAL PRODUCTS / HDS 12/14 -4 ST GAS LPG *EU-I,,,,, HDS 12/14 -4 ST GAS LPG *EU-I, HDS 12/14 -4 ST GAS LPG *EU-I,,,2026-01-01 00:00:00,, HDS 12/14 -4 ST GAS LPG *EU-I,70973.89,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.698-917.0,1.698-917.0, HDS 9/14-4 ST *EU-I,,PROFESSIONAL PRODUCTS / HDS 9/14-4 ST *EU-I,,,,, HDS 9/14-4 ST *EU-I, HDS 9/14-4 ST *EU-I,,,2026-01-01 00:00:00,, HDS 9/14-4 ST *EU-I,44176.85,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.251-900.0,1.251-900.0, HDS 9/16-4 ST GAS *EU-I,,PROFESSIONAL PRODUCTS / HDS 9/16-4 ST GAS *EU-I,,,,, HDS 9/16-4 ST GAS *EU-I, HDS 9/16-4 ST GAS *EU-I,,,2026-01-01 00:00:00,, HDS 9/16-4 ST GAS *EU-I,66183.83,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.528-133.0,1.528-133.0, T 9/1 Bp,,PROFESSIONAL PRODUCTS / T 9/1 Bp,,,,, T 9/1 Bp, T 9/1 Bp,,,2026-01-01 00:00:00,, T 9/1 Bp,1762.19,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-150.0,1.527-150.0, T 10/1 *EU,,PROFESSIONAL PRODUCTS / T 10/1 *EU,,,,, T 10/1 *EU, T 10/1 *EU,,,2026-01-01 00:00:00,, T 10/1 *EU,917.65,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-154.0,1.527-154.0, T 10/1 Adv *EU,,PROFESSIONAL PRODUCTS / T 10/1 Adv *EU,,,,, T 10/1 Adv *EU, T 10/1 Adv *EU,,,2026-01-01 00:00:00,, T 10/1 Adv *EU,1002,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-157.0,1.527-157.0, T 10/1 Adv *EU,,PROFESSIONAL PRODUCTS / T 10/1 Adv *EU,,,,, T 10/1 Adv *EU, T 10/1 Adv *EU,,,2026-01-01 00:00:00,, T 10/1 Adv *EU,1025.94,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-419.0,1.527-419.0, T 10/1 Adv HEPA *EU,,PROFESSIONAL PRODUCTS / T 10/1 Adv HEPA *EU,,,,, T 10/1 Adv HEPA *EU, T 10/1 Adv HEPA *EU,,,2026-01-01 00:00:00,, T 10/1 Adv HEPA *EU,1128.1,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-100.0,1.355-100.0, T 12/1 *EU,,PROFESSIONAL PRODUCTS / T 12/1 *EU,,,,, T 12/1 *EU, T 12/1 *EU,,,2026-01-01 00:00:00,, T 12/1 *EU,1480.53,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-148.0,1.355-148.0, T 12/1 *EU,,PROFESSIONAL PRODUCTS / T 12/1 *EU,,,,, T 12/1 *EU, T 12/1 *EU,,,2026-01-01 00:00:00,, T 12/1 *EU,1383.68,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-135.0,1.355-135.0, T 12/1 eco!efficiency *EU,,PROFESSIONAL PRODUCTS / T 12/1 eco!efficiency *EU,,,,, T 12/1 eco!efficiency *EU, T 12/1 eco!efficiency *EU,,,2026-01-01 00:00:00,, T 12/1 eco!efficiency *EU,1775,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-133.0,1.355-133.0, T 12/1 Edition *EU,,PROFESSIONAL PRODUCTS / T 12/1 Edition *EU,,,,, T 12/1 Edition *EU, T 12/1 Edition *EU,,,2026-01-01 00:00:00,, T 12/1 Edition *EU,1640.73,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-134.0,1.355-134.0, T 12/1*EU,,PROFESSIONAL PRODUCTS / T 12/1*EU,,,,, T 12/1*EU, T 12/1*EU,,,2026-01-01 00:00:00,, T 12/1*EU,1726.14,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-228.0,1.355-228.0, T 15/1,,PROFESSIONAL PRODUCTS / T 15/1,,,,, T 15/1, T 15/1,,,2026-01-01 00:00:00,, T 15/1,1978.81,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-235.0,1.355-235.0, T 15/1 *EU,,PROFESSIONAL PRODUCTS / T 15/1 *EU,,,,, T 15/1 *EU, T 15/1 *EU,,,2026-01-01 00:00:00,, T 15/1 *EU,2340.9,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-250.0,1.355-250.0, T 15/1 *EU,,PROFESSIONAL PRODUCTS / T 15/1 *EU,,,,, T 15/1 *EU, T 15/1 *EU,,,2026-01-01 00:00:00,, T 15/1 *EU,1805.13,RON,,,,,,,,,,,,PCE,,1,7-15 zile,,,,,
