PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
industrial brushes,https://www.osborn.com/en/search?term=0008509061,0008509061,"End Brush D 12 shank 6x 20 crimped brass coated steelwire 0,30 T20",,"End Brush D 12 shank 6x 20 crimped brass coated steelwire 0,30 T20",,,,,"End Brush D 12 shank 6x 20 crimped brass coated steelwire 0,30 T20","End Brush D 12 shank 6x 20 crimped brass coated steelwire 0,30 T20",,,01.01.2026,,"End Brush D 12 shank 6x 20 crimped brass coated steelwire 0,30 T20",1.47074976468,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008509062,0008509062,"End Brush D 17 shankl 6x 20 crimped brass coated steelwire 0,30 T25",,"End Brush D 17 shankl 6x 20 crimped brass coated steelwire 0,30 T25",,,,,"End Brush D 17 shankl 6x 20 crimped brass coated steelwire 0,30 T25","End Brush D 17 shankl 6x 20 crimped brass coated steelwire 0,30 T25",,,01.01.2026,,"End Brush D 17 shankl 6x 20 crimped brass coated steelwire 0,30 T25",1.5687997489920003,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008509063,0008509063,"End Brush D 25 shank 6x 30 crimped brass coated steelwire 0,30 T30",,"End Brush D 25 shank 6x 30 crimped brass coated steelwire 0,30 T30",,,,,"End Brush D 25 shank 6x 30 crimped brass coated steelwire 0,30 T30","End Brush D 25 shank 6x 30 crimped brass coated steelwire 0,30 T30",,,01.01.2026,,"End Brush D 25 shank 6x 30 crimped brass coated steelwire 0,30 T30",1.8139247097720004,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008509064,0008509064,"End Brush D 30 shank 6x 20 crimped brass coated steelwire 0,30 T33",,"End Brush D 30 shank 6x 20 crimped brass coated steelwire 0,30 T33",,,,,"End Brush D 30 shank 6x 20 crimped brass coated steelwire 0,30 T33","End Brush D 30 shank 6x 20 crimped brass coated steelwire 0,30 T33",,,01.01.2026,,"End Brush D 30 shank 6x 20 crimped brass coated steelwire 0,30 T33",2.353199623488,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008512061,0008512061,"Bevel Brush D100x 10 thread M14x2,0 crimped brass coated steelwire 0,30",,"Bevel Brush D100x 10 thread M14x2,0 crimped brass coated steelwire 0,30",,,,,"Bevel Brush D100x 10 thread M14x2,0 crimped brass coated steelwire 0,30","Bevel Brush D100x 10 thread M14x2,0 crimped brass coated steelwire 0,30",,,01.01.2026,,"Bevel Brush D100x 10 thread M14x2,0 crimped brass coated steelwire 0,30",4.633000000000001,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008512062,0008512062,"Bevel Brush D100x 20 thread M14x2,0 crimped brass coated steelwire 0,30",,"Bevel Brush D100x 20 thread M14x2,0 crimped brass coated steelwire 0,30",,,,,"Bevel Brush D100x 20 thread M14x2,0 crimped brass coated steelwire 0,30","Bevel Brush D100x 20 thread M14x2,0 crimped brass coated steelwire 0,30",,,01.01.2026,,"Bevel Brush D100x 20 thread M14x2,0 crimped brass coated steelwire 0,30",5.617,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008512161,0008512161,"Bevel Brush D100x 10 thread M14x2,0 crimped steelwire 0,30",,"Bevel Brush D100x 10 thread M14x2,0 crimped steelwire 0,30",,,,,"Bevel Brush D100x 10 thread M14x2,0 crimped steelwire 0,30","Bevel Brush D100x 10 thread M14x2,0 crimped steelwire 0,30",,,01.01.2026,,"Bevel Brush D100x 10 thread M14x2,0 crimped steelwire 0,30",5.196649168536001,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008512162,0008512162,"Bevel Brush D100x 20 thread M14x2,0 crimped steelwire 0,30",,"Bevel Brush D100x 20 thread M14x2,0 crimped steelwire 0,30",,,,,"Bevel Brush D100x 20 thread M14x2,0 crimped steelwire 0,30","Bevel Brush D100x 20 thread M14x2,0 crimped steelwire 0,30",,,01.01.2026,,"Bevel Brush D100x 20 thread M14x2,0 crimped steelwire 0,30",7.157648854776001,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008522061,0008522061,"Wheel Brush D100x 16 crimped brass coated steelwire 0,30 Bore D 20 with adapter set single packing",,"Wheel Brush D100x 16 crimped brass coated steelwire 0,30 Bore D 20 with adapter set single packing",,,,,"Wheel Brush D100x 16 crimped brass coated steelwire 0,30 Bore D 20 with adapter set single packing","Wheel Brush D100x 16 crimped brass coated steelwire 0,30 Bore D 20 with adapter set single packing",,,01.01.2026,,"Wheel Brush D100x 16 crimped brass coated steelwire 0,30 Bore D 20 with adapter set single packing",5.490799121472,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
industrial brushes,https://www.osborn.com/en/search?term=0008522062,0008522062,"Wheel Brush D100x 20 crimped brass coated steelwire 0,30 Bore D 20 with adapter set / Tubed. 30 single packing",,"Wheel Brush D100x 20 crimped brass coated steelwire 0,30 Bore D 20 with adapter set / Tubed. 30 single packing",,,,,"Wheel Brush D100x 20 crimped brass coated steelwire 0,30 Bore D 20 with adapter set / Tubed. 30 single packing","Wheel Brush D100x 20 crimped brass coated steelwire 0,30 Bore D 20 with adapter set / Tubed. 30 single packing",,,01.01.2026,,"Wheel Brush D100x 20 crimped brass coated steelwire 0,30 Bore D 20 with adapter set / Tubed. 30 single packing",5.686899090095999,EUR,,,,,,,,,,,,BUC,,1,7-15 zile,,,,,
