PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss/#259102,259102,"SPB-FLOWSTEP TIP DIN338 HSS-G, 10,2mm, 3",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 10,2mm, 3",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 10,2mm, 3","SPB-FLOWSTEP TIP DIN338 HSS-G, 10,2mm, 3",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 10,2mm, 3",23.0265,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259102E,259102E,SPB-DIN338-HSS E-Co 5-Ø10.2 mm,,SPB-DIN338-HSS E-Co 5-Ø10.2 mm,,,,,SPB-DIN338-HSS E-Co 5-Ø10.2 mm,SPB-DIN338-HSS E-Co 5-Ø10.2 mm,,,18.02.2026,,SPB-DIN338-HSS E-Co 5-Ø10.2 mm,33.719500000000004,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259004RO,259004RO,EGB-Satz FLOWSTEP TIP HSS 15 tlg. M3-M12,,EGB-Satz FLOWSTEP TIP HSS 15 tlg. M3-M12,,,,,EGB-Satz FLOWSTEP TIP HSS 15 tlg. M3-M12,EGB-Satz FLOWSTEP TIP HSS 15 tlg. M3-M12,,,18.02.2026,,EGB-Satz FLOWSTEP TIP HSS 15 tlg. M3-M12,119.35699999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss#259010,259010,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,0mm, zy",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,0mm, zy",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,0mm, zy","SPB-FLOWSTEP TIP DIN338 HSS-G, 1,0mm, zy",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,0mm, zy",3.4084999999999996,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259010E,259010E,SPB-DIN338-HSS E-Co 5-Ø1.0 mm,,SPB-DIN338-HSS E-Co 5-Ø1.0 mm,,,,,SPB-DIN338-HSS E-Co 5-Ø1.0 mm,SPB-DIN338-HSS E-Co 5-Ø1.0 mm,,,18.02.2026,,SPB-DIN338-HSS E-Co 5-Ø1.0 mm,4.9895,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss/#259015,259015,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,5mm, zy",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,5mm, zy",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,5mm, zy","SPB-FLOWSTEP TIP DIN338 HSS-G, 1,5mm, zy",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 1,5mm, zy",3.6125,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259015E,259015E,SPB-DIN338-HSS E-Co 5-Ø1.5 mm,,SPB-DIN338-HSS E-Co 5-Ø1.5 mm,,,,,SPB-DIN338-HSS E-Co 5-Ø1.5 mm,SPB-DIN338-HSS E-Co 5-Ø1.5 mm,,,18.02.2026,,SPB-DIN338-HSS E-Co 5-Ø1.5 mm,5.2955000000000005,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss/#259020,259020,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,0mm, zy",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,0mm, zy",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,0mm, zy","SPB-FLOWSTEP TIP DIN338 HSS-G, 2,0mm, zy",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,0mm, zy",3.859,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259020E,259020E,SPB-DIN338-HSS E-Co 5-Ø2.0 mm,,SPB-DIN338-HSS E-Co 5-Ø2.0 mm,,,,,SPB-DIN338-HSS E-Co 5-Ø2.0 mm,SPB-DIN338-HSS E-Co 5-Ø2.0 mm,,,18.02.2026,,SPB-DIN338-HSS E-Co 5-Ø2.0 mm,5.643999999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss/#259025,259025,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,5mm, zy",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,5mm, zy",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,5mm, zy","SPB-FLOWSTEP TIP DIN338 HSS-G, 2,5mm, zy",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 2,5mm, zy",4.063,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hssco5/#259025E,259025E,SPB-DIN338-HSS E-Co 5-Ø2.5 mm,,SPB-DIN338-HSS E-Co 5-Ø2.5 mm,,,,,SPB-DIN338-HSS E-Co 5-Ø2.5 mm,SPB-DIN338-HSS E-Co 5-Ø2.5 mm,,,18.02.2026,,SPB-DIN338-HSS E-Co 5-Ø2.5 mm,5.9415000000000004,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/twist-drills/ultimatecut-twist-drill-din338-flowstep-hss/#259030,259030,"SPB-FLOWSTEP TIP DIN338 HSS-G, 3,0mm, zy",,"SPB-FLOWSTEP TIP DIN338 HSS-G, 3,0mm, zy",,,,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 3,0mm, zy","SPB-FLOWSTEP TIP DIN338 HSS-G, 3,0mm, zy",,,18.02.2026,,"SPB-FLOWSTEP TIP DIN338 HSS-G, 3,0mm, zy",4.2669999999999995,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
