sku,file1,price1_eur,file2,price2_eur
"KR-805126","2026-_Price_List-SCARI final.csv",67.09,"2026-_Price_List-SCARI final.csv",54.83
"KR-805195","2026-_Price_List-SCARI final.csv",67.7,"2026-_Price_List-SCARI final.csv",55.33
"KR-817327","2026-_Price_List-SCARI final.csv",62.91,"2026-_Price_List-SCARI final.csv",51.39
"KR-817334","2026-_Price_List-SCARI final.csv",69.76,"2026-_Price_List-SCARI final.csv",57.01
"KR-817341","2026-_Price_List-SCARI final.csv",116.49,"2026-_Price_List-SCARI final.csv",95.19
"KR-912848","2026-_Price_List-SCARI final.csv",59.9,"2026-_Price_List-SCARI final.csv",48.95
"KR-914071","2026-_Price_List-SCARI final.csv",98.69,"2026-_Price_List-SCARI final.csv",80.64
"KR-914026","2026-_Price_List-SCARI final.csv",11.78,"2026-_Price_List-SCARI final.csv",9.62
"KR-914323","2026-_Price_List-SCARI final.csv",238.46,"2026-_Price_List-SCARI final.csv",194.86
"KR-704405","2026-_Price_List-SCARI final.csv",3.7,"2026-_Price_List-SCARI final.csv",3.03
"KR-910059","2026-_Price_List-SCARI final.csv",60.94,"2026-_Price_List-SCARI final.csv",49.79
"KR-910066","2026-_Price_List-SCARI final.csv",68.07,"2026-_Price_List-SCARI final.csv",55.62
"KR-704306","2026-_Price_List-SCARI final.csv",46.99,"2026-_Price_List-SCARI final.csv",38.4
"KR-914118","2026-_Price_List-SCARI final.csv",61.49,"2026-_Price_List-SCARI final.csv",50.25
"KR-704146","2026-_Price_List-SCARI final.csv",34.56,"2026-_Price_List-SCARI final.csv",28.25
"KR-202338","2026-_Price_List-SCARI final.csv",7.27,"2026-_Price_List-SCARI final.csv",5.94
"KR-202345","2026-_Price_List-SCARI final.csv",16.69,"2026-_Price_List-SCARI final.csv",13.65
"71802","2026-_Price_List-TOYA FINAL.csv",2.07,"2026-_Price_List_ffgroup final.csv",3.41
"73892","2026-_Price_List-TOYA FINAL.csv",0.33,"2026-_Price_List_ffgroup final.csv",0.36
"73898","2026-_Price_List-TOYA FINAL.csv",2.91,"2026-_Price_List_ffgroup final.csv",0.59
"77600","2026-_Price_List-TOYA FINAL.csv",2.39,"2026-_Price_List_ffgroup final.csv",5.36
"74443","2026-_Price_List-TOYA FINAL.csv",9.07,"2026-_Price_List_ffgroup final.csv",3.02
"9.986-054.0","2026-_Price_List_karcher final.csv",2340.88,"2026-_Price_List_karcher final.csv",2438.63
"9.986-055.0","2026-_Price_List_karcher final.csv",2552.42,"2026-_Price_List_karcher final.csv",2658.22
"3108461291","2026-_Price_List_osborn final.csv",0.99,"2026-_Price_List_osborn final.csv",1.24
"3108461291","2026-_Price_List_osborn final.csv",0.99,"2026-_Price_List_osborn final.csv",1.88
"11105101","2026-_Price_List_pferd final.csv",4.77,"2026-_Price_List_pferd final.csv",4.27
"11105201","2026-_Price_List_pferd final.csv",5.18,"2026-_Price_List_pferd final.csv",4.69
"32106278","2026-_Price_List_pferd final.csv",2.05,"2026-_Price_List_pferd final.csv",1.82
"61330122","2026-_Price_List_pferd final.csv",2.22,"2026-_Price_List_pferd final.csv",1.39
"61331122","2026-_Price_List_pferd final.csv",2.59,"2026-_Price_List_pferd final.csv",1.57
"61340382","2026-_Price_List_pferd final.csv",2.14,"2026-_Price_List_pferd final.csv",1.23
"61340412","2026-_Price_List_pferd final.csv",2.22,"2026-_Price_List_pferd final.csv",1.33
"61340416","2026-_Price_List_pferd final.csv",2.22,"2026-_Price_List_pferd final.csv",1.33
"61340422","2026-_Price_List_pferd final.csv",2.27,"2026-_Price_List_pferd final.csv",1.49
"61340424","2026-_Price_List_pferd final.csv",2.27,"2026-_Price_List_pferd final.csv",1.49
"61341082","2026-_Price_List_pferd final.csv",2.5,"2026-_Price_List_pferd final.csv",1.42
"61341112","2026-_Price_List_pferd final.csv",2.58,"2026-_Price_List_pferd final.csv",1.52
"61341116","2026-_Price_List_pferd final.csv",2.58,"2026-_Price_List_pferd final.csv",1.52
"61341122","2026-_Price_List_pferd final.csv",2.66,"2026-_Price_List_pferd final.csv",1.68
"61341124","2026-_Price_List_pferd final.csv",2.66,"2026-_Price_List_pferd final.csv",1.68
"61342122","2026-_Price_List_pferd final.csv",3.01,"2026-_Price_List_pferd final.csv",2.11
"61342124","2026-_Price_List_pferd final.csv",3.01,"2026-_Price_List_pferd final.csv",2.11
"61719010","2026-_Price_List_pferd final.csv",1.5,"2026-_Price_List_pferd final.csv",1.06
"61719021","2026-_Price_List_pferd final.csv",1.54,"2026-_Price_List_pferd final.csv",1.15
"61721100","2026-_Price_List_pferd final.csv",1.55,"2026-_Price_List_pferd final.csv",1.12
"61721121","2026-_Price_List_pferd final.csv",1.58,"2026-_Price_List_pferd final.csv",1.25
"61730010","2026-_Price_List_pferd final.csv",1.3,"2026-_Price_List_pferd final.csv",0.94
"61730021","2026-_Price_List_pferd final.csv",1.34,"2026-_Price_List_pferd final.csv",1.06
"61730100","2026-_Price_List_pferd final.csv",1.34,"2026-_Price_List_pferd final.csv",1.01
"61730121","2026-_Price_List_pferd final.csv",1.42,"2026-_Price_List_pferd final.csv",1.09
"67764115","2026-_Price_List_pferd final.csv",3.06,"2026-_Price_List_pferd final.csv",2.43
"67764125","2026-_Price_List_pferd final.csv",3.39,"2026-_Price_List_pferd final.csv",2.7
"67764150","2026-_Price_List_pferd final.csv",5.34,"2026-_Price_List_pferd final.csv",4.18
"67764185","2026-_Price_List_pferd final.csv",5.86,"2026-_Price_List_pferd final.csv",5.58
"67766115","2026-_Price_List_pferd final.csv",3.06,"2026-_Price_List_pferd final.csv",2.43
"67766125","2026-_Price_List_pferd final.csv",3.39,"2026-_Price_List_pferd final.csv",2.7
"67766150","2026-_Price_List_pferd final.csv",5.34,"2026-_Price_List_pferd final.csv",4.18
"67766185","2026-_Price_List_pferd final.csv",5.86,"2026-_Price_List_pferd final.csv",5.58
"67768115","2026-_Price_List_pferd final.csv",3.06,"2026-_Price_List_pferd final.csv",2.43
"67768125","2026-_Price_List_pferd final.csv",3.39,"2026-_Price_List_pferd final.csv",2.7
"67768185","2026-_Price_List_pferd final.csv",5.86,"2026-_Price_List_pferd final.csv",5.58
"67769115","2026-_Price_List_pferd final.csv",3.06,"2026-_Price_List_pferd final.csv",2.43
"67769125","2026-_Price_List_pferd final.csv",3.39,"2026-_Price_List_pferd final.csv",2.7
"67769185","2026-_Price_List_pferd final.csv",5.86,"2026-_Price_List_pferd final.csv",5.58
"67784115","2026-_Price_List_pferd final.csv",4.53,"2026-_Price_List_pferd final.csv",3.49
"67784125","2026-_Price_List_pferd final.csv",4.94,"2026-_Price_List_pferd final.csv",3.86
"67784150","2026-_Price_List_pferd final.csv",6.98,"2026-_Price_List_pferd final.csv",4.8
"67784185","2026-_Price_List_pferd final.csv",8.37,"2026-_Price_List_pferd final.csv",7.04
"67785116","2026-_Price_List_pferd final.csv",4.53,"2026-_Price_List_pferd final.csv",3.22
"67785126","2026-_Price_List_pferd final.csv",4.94,"2026-_Price_List_pferd final.csv",3.5
"67785186","2026-_Price_List_pferd final.csv",8.37,"2026-_Price_List_pferd final.csv",7.36
"67786115","2026-_Price_List_pferd final.csv",4.53,"2026-_Price_List_pferd final.csv",3.07
"67786125","2026-_Price_List_pferd final.csv",4.94,"2026-_Price_List_pferd final.csv",3.39
"67786150","2026-_Price_List_pferd final.csv",6.98,"2026-_Price_List_pferd final.csv",4.8
"67786185","2026-_Price_List_pferd final.csv",8.37,"2026-_Price_List_pferd final.csv",7.04
"67788116","2026-_Price_List_pferd final.csv",4.53,"2026-_Price_List_pferd final.csv",3.07
"67788126","2026-_Price_List_pferd final.csv",4.94,"2026-_Price_List_pferd final.csv",3.39
"67789116","2026-_Price_List_pferd final.csv",4.53,"2026-_Price_List_pferd final.csv",3.07
"67789126","2026-_Price_List_pferd final.csv",4.94,"2026-_Price_List_pferd final.csv",3.39
"259205RO","2026-_Price_List_ruko_Sheet1.csv",57.22,"2026-_Price_List_ruko_Sheet1.csv",54.49
"259205ERO","2026-_Price_List_ruko_Sheet1.csv",71.5,"2026-_Price_List_ruko_Sheet1.csv",68.09
