sku,name,reason,manufacturer_url,confidence,issues
"2.783-014.0"," ABS carpet cleaning BR 40/10 C","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"5.035-488.0"," Adapter Homebase","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"2.641-718.0"," Add-on kit","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"2.642-802.0"," Add-on kit additional weight BDS","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"2.783-005.0"," Add-on kit carpet cleaning BR 30/4 C","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"2.644-228.0"," Add-on kit deflector roll stackable","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"2.644-225.0"," Add-on kit deflector roll stackable","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.008-056.0"," BRC 45/45 C","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/brc-45-45-c-10080560.html","",""
"1.174-900.0"," HDS 8/18-4 C *EU-I","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/hds-8-18-4-c-11749000.html","",""
"1.428-114.0"," NT 27/1 Me Adv *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/nt-27-1-me-adv-14281140.html","",""
"1.527-150.0"," T 10/1 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.527-154.0"," T 10/1 Adv *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.527-157.0"," T 10/1 Adv *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.527-419.0"," T 10/1 Adv HEPA *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-100.0"," T 12/1 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-148.0"," T 12/1 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-135.0"," T 12/1 eco!efficiency *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-133.0"," T 12/1 Edition *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-134.0"," T 12/1*EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-228.0"," T 15/1","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-250.0"," T 15/1 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-235.0"," T 15/1 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.355-200.0"," T 15/1 EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.527-145.0"," T 7/1 eco!efficiency *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.527-188.0"," T 8/1 L *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/t-8-1-l-15271880.html","",""
"1.528-133.0"," T 9/1 Bp","REAL_NO_SPECS","https://www.kaercher.com/ro/home-garden/sfaturi-de-curatenie.html","",""
"1.056-310.0","EWM 2 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/ewm-2-10563100.html","",""
"1.107-390.0","G 7.180","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/g-7-180-11073900.html","",""
"1.445-320.0","GSH 4-4 Plus *INT","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/gsh-4-4-plus-14453200.html","",""
"1.445-321.0","GSH 4-4 Plus Battery Set *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/gsh-4-4-plus-battery-set-14453210.html","",""
"1.444-250.0","HGE 36-60 Battery *INT","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/hge-36-60-battery-14442500.html","",""
